abbr,State,Deaths,Total_Cases
AL,Alabama,1603,89349
AK,Alaska,24,3136
AZ,Arizona,3747,177002
AR,Arkansas,458,43173
CA,California,9345,506613
CO,Colorado,1844,47249
CT,Connecticut,4432,49810
DE,Delaware,585,14877
FL,Florida,7022,480028
GA,Georgia,3825,190012
HI,Hawaii,26,2197
ID,Idaho,197,21110
IL,Illinois,7700,181754
IN,Indiana,2971,67122
IA,Iowa,874,45293
KS,Kansas,358,27592
KY,Kentucky,740,30723
LA,Louisiana,3949,116280
ME,Maine,123,3937
MD,Maryland,3506,89365
MA,Massachusetts,8626,118040
MI,Michigan,6457,91332
MN,Minnesota,1646,55188
MS,Mississippi,1693,59881
MO,Missouri,1276,51632
MT,Montana,61,4081
NE,Nebraska,332,26391
NV,Nevada,832,49074
NH,New Hampshire,416,6614
NJ,New Jersey,15830,182029
NM,New Mexico,651,20796
NY,New York,32694,415767
NC,North Carolina,1979,124006
ND,North Dakota,103,6602
OH,Ohio,3515,92087
OK,Oklahoma,549,37731
OR,Oregon,325,18817
PA,Pennsylvania,7219,117468
RI,Rhode Island,1007,19022
SC,South Carolina,1751,90599
SD,South Dakota,134,8867
TN,Tennessee,1067,108184
TX,Texas,6865,444738
UT,Utah,310,40702
VT,Vermont,57,1421
VA,Virginia,2215,90801
WA,Washington,1592,57541
WV,West Virginia,116,6738
WI,Wisconsin,947,54002
WY,Wyoming,26,2769
