Date,Cases,Average_7Day_Cases,Deaths,Average_7Day_Deaths
3/3/2020,20,13,1,1
3/4/2020,31,23,4,1
3/5/2020,70,29,1,2
3/6/2020,48,45,2,2
3/7/2020,115,60,3,2
3/8/2020,114,67,4,2
3/9/2020,68,91,1,3
3/10/2020,192,144,6,2
3/11/2020,398,198,5,3
3/12/2020,452,276,10,3
3/13/2020,596,362,9,4
3/14/2020,713,360,6,5
3/15/2020,98,549,12,6
3/16/2020,1392,776,27,7
3/17/2020,1781,1115,34,11
3/18/2020,2776,1799,57,15
3/19/2020,5240,2475,77,22
3/20/2020,5322,3279,97,32
3/21/2020,6346,4399,94,44
3/22/2020,7936,5641,145,57
3/23/2020,10089,6853,183,76
3/24/2020,10262,8163,237,98
3/25/2020,11943,9991,312,127
3/26/2020,18036,11828,413,164
3/27/2020,18185,13749,554,212
3/28/2020,19793,15349,634,277
3/29/2020,19136,16980,627,354
3/30/2020,21502,19230,820,423
3/31/2020,26017,21164,1224,514
4/1/2020,25481,22931,1241,655
4/2/2020,30405,24896,1586,788
4/3/2020,31937,26804,1315,955
4/4/2020,33152,28053,1284,1064
4/5/2020,27874,29215,1439,1157
4/6/2020,29642,29895,1668,1273
4/7/2020,30777,30783,2309,1394
4/8/2020,31694,31405,2116,1549
4/9/2020,34756,31628,2075,1674
4/10/2020,33501,31181,2093,1744
4/11/2020,30026,31278,2046,1855
4/12/2020,28553,30657,1771,1964
4/13/2020,25291,30127,1828,2011
4/14/2020,27065,29755,2404,2034
4/15/2020,29096,29261,2549,2048
4/16/2020,31298,29150,2113,2109
4/17/2020,32724,28910,2614,2115
4/18/2020,28341,28550,2386,2189
4/19/2020,26038,28843,1229,2238
4/20/2020,27341,28634,1795,2160
4/21/2020,25602,28493,2457,2156
4/22/2020,28104,28906,2389,2163
4/23/2020,34195,29416,2437,2140
4/24/2020,36291,30070,2118,2187
4/25/2020,32921,30306,1650,2116
4/26/2020,27689,29610,1293,2011
4/27/2020,22465,29457,1425,2020
4/28/2020,24535,29374,2219,1967
4/29/2020,27520,28721,2506,1933
4/30/2020,29629,28417,2296,1950
5/1/2020,34162,27885,1869,1930
5/2/2020,29195,27585,1556,1894
5/3/2020,25587,27586,1096,1881
5/4/2020,22475,27536,1309,1852
5/5/2020,24185,27213,2307,1836
5/6/2020,25256,26963,2458,1848
5/7/2020,27882,25965,1919,1842
5/8/2020,27178,25471,1727,1788
5/9/2020,25733,24639,1479,1767
5/10/2020,19764,24125,879,1756
5/11/2020,18878,23840,1013,1725
5/12/2020,22190,23226,1615,1683
5/13/2020,20958,23188,1751,1584
5/14/2020,27617,22920,1774,1483
5/15/2020,25300,22830,1661,1463
5/16/2020,25101,22721,1223,1453
5/17/2020,19004,23134,752,1417
5/18/2020,21769,22885,770,1398
5/19/2020,20449,23292,1551,1364
5/20/2020,23807,22969,1568,1355
5/21/2020,25355,22804,1223,1328
5/22/2020,24141,22335,1269,1250
5/23/2020,21823,22594,1121,1194
5/24/2020,20813,22197,608,1179
5/25/2020,18991,21973,513,1159
5/26/2020,18883,21184,685,1122
5/27/2020,18282,20821,1509,998
5/28/2020,22815,20873,1182,990
5/29/2020,24504,21248,1166,984
5/30/2020,24450,21119,969,969
5/31/2020,19910,20886,586,947
6/1/2020,17355,21173,772,944
6/2/2020,20895,21412,1033,981
6/3/2020,19958,21203,990,1031
6/4/2020,21351,21306,1009,957
6/5/2020,25224,21061,970,932
6/6/2020,22732,20749,680,904
6/7/2020,17731,20758,451,863
6/8/2020,17415,20363,505,844
6/9/2020,18127,20482,940,805
6/10/2020,20794,20710,917,792
6/11/2020,22950,20726,881,782
6/12/2020,25330,21129,822,763
6/13/2020,25556,21428,750,742
6/14/2020,19824,21749,298,752
6/15/2020,19660,22546,391,730
6/16/2020,23705,23226,839,714
6/17/2020,25559,23920,751,700
6/18/2020,27809,24799,704,676
6/19/2020,31480,25827,672,651
6/20/2020,32749,26772,610,629
6/21/2020,26439,28325,255,609
6/22/2020,30536,29966,406,603
6/23/2020,35188,31305,837,605
6/24/2020,34935,33029,757,605
6/25/2020,39873,34996,2422,606
6/26/2020,45255,36419,605,851
6/27/2020,42705,38300,489,842
6/28/2020,39605,39766,241,824
6/29/2020,40804,41275,350,822
6/30/2020,45746,43595,721,814
7/1/2020,51174,45679,673,798
7/2/2020,54461,46830,698,786
7/3/2020,53312,47283,639,540
7/4/2020,45880,48751,247,544
7/5/2020,49883,49344,271,510
7/6/2020,44953,51383,325,514
7/7/2020,60021,52444,1195,511
7/8/2020,58601,53700,820,578
7/9/2020,63247,55768,990,599
7/10/2020,67791,57812,811,641
7/11/2020,60188,59117,676,666
7/12/2020,59017,61154,428,727
7/13/2020,59215,62211,361,749
7/14/2020,67417,63458,900,754
7/15/2020,67328,65459,949,712
7/16/2020,77255,65997,943,731
7/17/2020,71558,66498,908,724
7/18/2020,63698,66903,853,738
7/19/2020,61847,67217,415,763
7/20/2020,61417,66805,491,761
7/21/2020,64534,67317,1096,780
7/22/2020,70910,66094,1195,808
7/23/2020,68695,66402,1114,843
7/24/2020,73715,66794,1130,867
7/25/2020,66439,65809,905,899
7/26/2020,54953,65094,470,907
7/27/2020,56414,65285,1077,914
7/28/2020,65869,65266,1362,998
7/29/2020,70776,65171,1448,1036
7/30/2020,68033,64215,1233,1072
7/31/2020,67023,63068,1259,1089
8/1/2020,58406,64215,1133,1108
